SYS_ID;聚类;距离
82512;1;9.191
40791;2;24.741
45234;1;4.370
45934;2;4.552
70983;1;7.315
70983;1;7.315
82519;1;13.294
87076;1;2.300
82520;1;6.983
87283;1;3.860
95010;1;9.041
82523;1;6.773
87400;1;2.300
82525;1;6.254
95015;1;7.314
200050;1;.210
99336;1;17.311
87111;1;10.685
87118;1;10.921
82531;1;8.138
99341;2;2.744
87128;1;5.031
85202;1;7.781
87307;1;7.777
87308;1;10.259
87336;1;10.658
87405;1;8.197
87407;1;9.949
87421;1;10.491
99350;2;74.034
87424;1;.756
87425;1;10.491
95031;1;10.547
87432;1;9.423
87433;1;19.428
87436;2;8.741
85216;1;2.159
95035;1;1.106
87439;1;9.949
85217;1;16.632
87453;2;4.382
87456;1;10.345
87458;1;10.345
87468;1;11.793
87473;1;3.494
82552;1;1.561
85222;1;5.371
95041;1;1.805
87476;1;3.494
40830;1;11.107
71101;1;3.516
71101;1;3.516
40835;2;11.279
200064;1;13.726
82563;1;1.605
85234;1;16.632
82304;1;14.647
82569;1;9.866
200069;2;50.955
85240;1;9.998
44044;2;15.520
85241;1;10.978
95061;1;9.820
82574;1;3.250
85083;1;14.647
42604;2;8.465
87442;2;4.382
85249;1;10.978
95070;1;9.041
87015;1;5.152
82581;1;3.964
44055;1;18.983
87036;1;7.891
85253;1;7.023
87061;1;20.245
95075;1;12.359
87073;1;7.014
85256;1;7.023
87093;1;3.951
82588;1;9.866
87096;1;8.367
200080;2;7.681
95079;1;.760
45372;2;15.941
87157;1;2.295
87158;1;2.295
82593;1;13.982
87159;1;14.366
87166;1;11.163
87177;1;13.122
95086;1;9.587
87178;1;2.167
85267;1;6.229
45380;1;14.551
87183;1;8.912
45381;1;14.551
87186;1;3.872
87189;1;1.172
87200;1;2.298
87206;1;7.171
85272;1;2.309
95093;1;9.587
40878;1;11.107
87220;1;17.057
82605;1;3.250
87223;1;5.152
95096;1;6.285
87226;1;3.494
87055;1;1.514
87236;1;9.808
200092;1;21.221
87240;1;21.983
40884;1;13.868
87241;1;5.808
85280;1;6.229
87244;1;8.367
40886;2;20.128
87247;1;10.162
87247;1;10.162
200093;1;21.221
82612;1;1.795
87250;1;9.728
87253;1;2.861
87253;1;2.861
95106;2;22.305
87267;1;17.317
87267;1;17.317
42147;2;49.367
45412;2;40.454
82618;1;8.440
87286;1;6.268
44098;2;72.599
85292;1;17.862
87310;1;7.793
87318;1;.787
87319;1;5.135
87326;1;7.034
87356;1;11.078
85299;1;4.779
87384;1;3.106
87410;1;10.375
70005;1;5.354
40906;1;13.868
87428;2;19.544
82632;1;11.446
87489;1;20.001
82633;1;11.446
87490;1;17.121
87491;1;17.121
82635;1;4.077
87104;1;1.291
95126;1;15.118
87494;1;5.450
87499;1;14.366
87506;1;20.001
42171;2;39.559
45437;1;10.235
87513;1;7.891
85312;1;3.395
95134;1;20.933
