NAME,ID,SOURCE,QUOTE,PRECISION,CLASS,MEDICINE,TYPE,X,Y,LOCATION_ID,LOCATION_QUANTITY
汶山郡,hvd_115915,神农本草经集注,今出益州北部汶山郡、西川、蚕陵二县界，生山崖上，色多青白，亦杂黑斑。,2,upper,朴硝,TRUE,103.57815,31.47779,135.05594,2
长子县,95323,神农本草经集注,长子县属上党郡，临淄县属青州。,3,middle,长石,continue,112.863149,36.116395,148.979544,1
临淄县,85234,神农本草经集注,长子县属上党郡，临淄县属青州。,3,middle,长石,continue,118.37041,36.86401,155.23442,1
陇西,hvd_110181,神农本草经集注,陇西属秦州，在长安西羌中。今宕昌以此诸山有咸土处皆有之。,2,upper,硝石,continue,104.65988,34.9836,139.64348,1
蜀,211049,神农本草经集注,今蜀汉亦有，而好者出南康南野溪，及彭城界中、洛阳城南堑，常取少室。,2,lower,【兴石】石,TRUE,104.075475,30.665916,134.741391,4
宕昌,hvd_110177,神农本草经集注,陇西属秦州，在长安西羌中。今宕昌以此诸山有咸土处皆有之。,2,upper,硝石,TRUE,104.36445,34.03247,138.39692,1
汉,211672,神农本草经集注,今蜀汉亦有，而好者出南康南野溪，及彭城界中、洛阳城南堑，常取少室。,2,lower,【兴石】石,continue,107.036067,33.072893,140.10896,4
宁州,hvd_113540,神农本草经集注,旧出宁州，黄白粒大，味极辛、苦。顷来宁州道断都绝。,2,upper,芒硝,abandon,103.56492,25.04599,128.61091,1
南康南野溪,40872,神农本草经集注,今蜀汉亦有，而好者出南康南野溪，及彭城界中、洛阳城南堑，常取少室。,4,lower,【兴石】石,TRUE,114.745163,25.658571,140.403734,1
益州,hvd_113524,神农本草经集注,今益州人复炼矾石作硝石，绝柔白，而味犹是矾石尔。,1,upper,芒硝,TRUE,104.078,30.65039,134.72839,3
彭城,42777,神农本草经集注,今蜀汉亦有，而好者出南康南野溪，及彭城界中、洛阳城南堑，常取少室。,3,lower,【兴石】石,TRUE,117.187683,34.269634,151.457317,3
洛阳城南堑,82829,神农本草经集注,今蜀汉亦有，而好者出南康南野溪，及彭城界中、洛阳城南堑，常取少室。,4,lower,【兴石】石,TRUE,112.5963,34.73157,147.32787,1
少室,songshan,神农本草经集注,今蜀汉亦有，而好者出南康南野溪，及彭城界中、洛阳城南堑，常取少室。,4,lower,【兴石】石,continue,112.9865424,34.5196623,147.5062047,1
湘东新宁县,41866,神农本草经集注,又湘东新宁县及零陵皆有白【兴石】石。,3,lower,【兴石】石,TRUE,112.339178,26.296506,138.635684,1
益州北部西川,hvd_115915,神农本草经集注,今出益州北部西川，从河西来。,3,upper,矾石,TRUE,103.57815,31.47779,135.05594,2
零陵,32886,神农本草经集注,又湘东新宁县及零陵皆有白【兴石】石。,2,lower,【兴石】石,TRUE,111.612564,26.210339,137.822903,1
河西,hexi,神农本草经集注,今出益州北部西川，从河西来。,1,upper,矾石,TRUE,101.5818192,35.3002082,136.8820274,1
汉中,211677,神农本草经集注,唯用出汉中者，其外形紫赤色，内白如霜，中央有臼，形状如齿者佳。,2,lower,特【兴石】石,TRUE,107.036067,33.072893,140.10896,4
荆州新城郡房陵县,45921,神农本草经集注,《大散方》云∶出荆州新城郡房陵县，练白色为好。,3,lower,特【兴石】石,TRUE,110.72715,32.05897,142.78612,1
湘州,hvd_110003,神农本草经集注,今出湘州、始安郡诸处。初取软如泥，久渐坚强，人多以作冢中明器物，并散热人用之，不正入方药。,2,upper,滑石,TRUE,112.97813,28.1982,141.17633,1
赭阳县,hvd_82783,神农本草经集注,赭阳县先属南阳，汉哀帝置，明《本经》所注郡县，必是后汉时也。掖县属青州东莱，卷县属司州荣阳。,3,upper,滑石,continue,113.02336,33.25974,146.2831,1
掖县,hvd_85433,神农本草经集注,赭阳县先属南阳，汉哀帝置，明《本经》所注郡县，必是后汉时也。掖县属青州东莱，卷县属司州荣阳。,3,upper,滑石,continue,119.938,37.17543,157.11343,1
卷县,hvd_82523,神农本草经集注,赭阳县先属南阳，汉哀帝置，明《本经》所注郡县，必是后汉时也。掖县属青州东莱，卷县属司州荣阳。,3,upper,滑石,continue,113.78767,35.03897,148.82664,1
