_name;_ID;_source;_quote;pref&cnty OGRGeoJSON Point_NAME_PY;pref&cnty OGRGeoJSON Point_NAME_CH;pref&cnty OGRGeoJSON Point_X_COOR;pref&cnty OGRGeoJSON Point_Y_COOR;pref&cnty OGRGeoJSON Point_BEG_YR;pref&cnty OGRGeoJSON Point_END_YR;db__lat;db__lon;db__name;db__source;db__time;db__basis;db__also;Lon;Lat
益州;211050;神农本草经;生益州，采无时。;Yi Zhou;益州;104.286183;30.994009;25;185;;;;;;;;104.286183;30.994009
梁;211675;神农本草经集注;金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。;Liang Zhou;梁州;107.036067;33.072893;434;606;;;;;;;;107.036067;33.072893
宁;212019;神农本草经集注;金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。;Ning Zhou;宁州;103.664215;25.031117;428;505;;;;;;;;103.664215;25.031117
建;210244;神农本草经集注;金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。;Jian Zhou;建州;112.953567;35.592229;529;582;;;;;;;;112.953567;35.592229
晋;210198;神农本草经集注;金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。;Jin Zhou;晋州;111.5157;36.078009;528;581;;;;;;;;111.5157;36.078009
高丽;gaoli;神农本草经集注;又高丽、扶南及西域外国成器，金皆炼熟可服。;;;;;;;39.03385;125.75432;平壤;GeoNames;modern;从中国历史地图集看出，南北朝高丽有首都平壤。;;125.75432;39.03385
扶南;funan;神农本草经集注;又高丽、扶南及西域外国成器，金皆炼熟可服。;;;;;;;11.31922;105.28134;Phum Banam;GeoNames;modern;Capital, probably in Phum Banam, Prey Veng Province, Cambodia.;扶南;105.28134;11.31922
西域;xiyu;神农本草经集注;又高丽、扶南及西域外国成器，金皆炼熟可服。;;;;;;;42.8597159;89.5297193;高昌古城;maps.google.com;modern;从中国历史地图集看出，南北朝西域从高昌开始。;;89.5297193;42.8597159
永昌;211954;神农本草经;生永昌，采无时。;Yongchang Jun;永昌郡;99.25789;25.15477;76;298;;;;;;;;99.25789;25.15477
虢州;210917;新修本草;且银所在皆有，而以虢州者为胜，此外多锡秽为劣。;Guo Zhou;虢州;110.868491;34.520825;634;1234;;;;;;;;110.868491;34.520825
