NAME,ID,SOURCE,QUOTE,PRECISION,CLASS,HERB,TYPE
益州,211050,神农本草经,生益州，采无时。,1,middle,金屑,TRUE
梁,211675,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,TRUE
益,211052,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,continue
宁,212019,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,TRUE
建,210244,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,TRUE
晋,210198,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,TRUE
高丽,gaoli,神农本草经集注,又高丽、扶南及西域外国成器，金皆炼熟可服。,1,middle,金屑,TRUE
扶南,funan,神农本草经集注,又高丽、扶南及西域外国成器，金皆炼熟可服。,1,middle,金屑,TRUE
西域,xiyu,神农本草经集注,又高丽、扶南及西域外国成器，金皆炼熟可服。,1,middle,金屑,TRUE
永昌,211954,神农本草经,生永昌，采无时。,2,middle,银屑,TRUE
虢州,210917,新修本草,且银所在皆有，而以虢州者为胜，此外多锡秽为劣。,2,middle,银屑,TRUE
高丽,gaoli,新修本草,高丽作帖者，云非银矿所出，然色为器辟恶，乃为瑞物也。,1,middle,银屑,TRUE
符陵平土,211010,神农本草经,生符陵平土，出于丹砂。,2,middle,水银,TRUE
符陵平土,211010,神农本草经集注,此云生符陵平土者，是出朱砂腹中，亦别出沙地，皆青白色，最胜。,2,middle,水银,continue
武都山谷,211791,神农本草经,生武都山谷、敦煌山之阳，采无时。,2,middle,雄黄,TRUE
敦煌山之阳,211893,神农本草经,生武都山谷、敦煌山之阳，采无时。,2,middle,雄黄,TRUE
石门,211792,神农本草经集注,合丸皆用石门、始兴石黄之好者尔。,3,middle,雄黄,TRUE
始兴,34176,神农本草经集注,合丸皆用石门、始兴石黄之好者尔。,2,middle,雄黄,TRUE
凉州平市,211829,神农本草经集注,始以齐初凉州平市微有所得，将至都下，余最先见于使人陈典签处，捡获见十余片，伊芳辈不识此物是何等，见有【扌羡】挟雌黄，或谓是丹砂，五禾语并更属觅，于是渐渐而来，好者作鸡冠色，不臭而坚实。,2,middle,雄黄,TRUE
武都,211791,神农本草经集注,武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。,2,middle,雄黄,continue
仇池,71125,神农本草经集注,武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。,3,middle,雄黄,TRUE
宕昌,212422,神农本草经集注,武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。,2,middle,雄黄,TRUE
敦煌,211893,神农本草经集注,"敦煌在
                    凉州西数千里，所出者未尝得来，江东不知，当复云何？",2,middle,雄黄,abandon
石门,211792,新修本草,出石门名石黄者，亦是雄黄，而通名黄食石。,3,middle,雄黄,continue
宕昌,212422,新修本草,而石门者最为劣耳，宕昌、武都者为佳，块方数寸，明澈如鸡冠，或以为枕，服之辟恶。,2,middle,雄黄,continue
武都,211791,新修本草,而石门者最为劣耳，宕昌、武都者为佳，块方数寸，明澈如鸡冠，或以为枕，服之辟恶。,2,middle,雄黄,continue
宕州,211609,新修本草,贞观年中，以宕州新出，有得方数尺者，但重脆，不可全致之耳。,2,middle,雄黄,TRUE
武都山谷,211791,神农本草经,生武都山谷，与雄黄同山生。,2,middle,雌黄,TRUE
武都仇池,71125,神农本草经集注,今雌黄出武都仇池者，谓为武都仇池黄，色小赤。,3,middle,雌黄,TRUE
扶南,funan,神农本草经集注,出扶南林邑者，谓昆仑黄，色如金，而似云母甲错，画家所重。,1,middle,雌黄,TRUE
林邑,hvd_110173,神农本草经集注,出扶南林邑者，谓昆仑黄，色如金，而似云母甲错，画家所重。,1,middle,雌黄,TRUE
赵国山谷,212381,神农本草经,生赵国山谷，又梁山及南海，采无时。,1,middle,殷孽,TRUE
梁山,70312,神农本草经,生赵国山谷，又梁山及南海，采无时。,4,middle,殷孽,TRUE
南海,34191,神农本草经,生赵国山谷，又梁山及南海，采无时。,2,middle,殷孽,TRUE
赵国,212381,神农本草经集注,赵国属冀州，此即今人所呼孔公孽，大如牛羊角，长一、二尺左右，亦出始兴。,2,middle,殷孽,continue
始兴,34176,神农本草经集注,赵国属冀州，此即今人所呼孔公孽，大如牛羊角，长一、二尺左右，亦出始兴。,2,middle,殷孽,TRUE
梁山山谷,70312,神农本草经,生梁山山谷。,4,middle,孔公孽,TRUE
梁山,70312,神农本草经集注,梁山属冯翊郡，此即今钟乳床也，亦出始兴，皆大块折破之。,4,middle,孔公孽,continue
始兴,34176,神农本草经集注,梁山属冯翊郡，此即今钟乳床也，亦出始兴，皆大块折破之。,2,middle,孔公孽,TRUE
茅山东,maoshan,神农本草经集注,此石亦钟乳之类，形如曾青而白色黑斑，软脆易破，今茅山东及西平山并有，凿土堪取之。,4,middle,石脑,TRUE
西平山,211841,神农本草经集注,此石亦钟乳之类，形如曾青而白色黑斑，软脆易破，今茅山东及西平山并有，凿土堪取之。,2,middle,石脑,TRUE
徐州宗里山,33439,新修本草,隋时有化公者，所服亦名石脑，出徐州宗里山，初在烂石中，入土一丈以下得之，大如鸡卵，或如枣许，触着即散如面，黄白色，土人号为握雪【兴石】，云服之长生。,4,middle,石脑,TRUE
东海牧羊山谷,212614,神农本草经,生东海牧羊山谷中，及太山、河西山，矾石液也。,4,middle,石硫黄,TRUE
太山,taishan,神农本草经,生东海牧羊山谷中，及太山、河西山，矾石液也。,4,middle,石硫黄,TRUE
河西山,hexi,神农本草经,生东海牧羊山谷中，及太山、河西山，矾石液也。,1,middle,石硫黄,TRUE
东海郡,212614,神农本草经集注,东海郡属北徐州，而箕山亦有。,2,middle,石硫黄,continue
箕山,jishan,神农本草经集注,东海郡属北徐州，而箕山亦有。,4,middle,石硫黄,TRUE
扶南,funan,神农本草经集注,今第一出扶南林邑，色如鹅子初出壳，名昆仑黄。,1,middle,石硫黄,TRUE
林邑,hvd_110173,神农本草经集注,今第一出扶南林邑，色如鹅子初出壳，名昆仑黄。,1,middle,石硫黄,TRUE
齐山山谷,45022,神农本草经,生齐山山谷及琅玡或云山、阳起山，采无时。,4,middle,阳起石,TRUE
琅玡,hvd_115519,神农本草经,生齐山山谷及琅玡或云山、阳起山，采无时。,2,middle,阳起石,TRUE
云山,45022,神农本草经,生齐山山谷及琅玡或云山、阳起山，采无时。,1,middle,阳起石,TRUE
阳起山,yangqishan,神农本草经,生齐山山谷及琅玡或云山、阳起山，采无时。,4,middle,阳起石,TRUE
益州,211052,神农本草经集注,今用乃出益州，与矾石同处，色小黄黑即矾石。,2,middle,阳起石,TRUE
齐山,45022,新修本草,《经》言生齐山，齐山在齐州历城西北五六里，采访无阳起石，阳起石乃在齐山西北六七里卢山出之。,4,middle,阳起石,FALSE
卢山,45022,新修本草,《经》言生齐山，齐山在齐州历城西北五六里，采访无阳起石，阳起石乃在齐山西北六七里卢山出之。,4,middle,阳起石,continue
太山,taishan,新修本草,今太山、沂州唯有黑者，其白者独出齐州也。,4,middle,阳起石,TRUE
沂州,212534,新修本草,今太山、沂州唯有黑者，其白者独出齐州也。,2,middle,阳起石,TRUE
常山山谷,changshan,神农本草经,生常山山谷，又中水县及邯郸。,4,middle,凝水石,TRUE
中水县,87356,神农本草经,生常山山谷，又中水县及邯郸。,3,middle,凝水石,TRUE
邯郸,87010,神农本草经,生常山山谷，又中水县及邯郸。,2,middle,凝水石,TRUE
常山,changshan,神农本草经集注,常山即恒山，属并州。中水县属河间郡。邯郸即是赵郡，并属冀州城。,4,middle,凝水石,continue
中水县,87356,神农本草经集注,常山即恒山，属并州。中水县属河间郡。邯郸即是赵郡，并属冀州城。,3,middle,凝水石,continue
邯郸,87010,神农本草经集注,常山即恒山，属并州。中水县属河间郡。邯郸即是赵郡，并属冀州城。,2,middle,凝水石,continue
同州韩城,70313,新修本草,今出同州韩城，色青黄，理如云母为良；,3,middle,凝水石,TRUE
澄城,70310,新修本草,出澄城者，斜理文色白为劣也。,3,middle,凝水石,TRUE
齐山山谷,45022,神农本草经,生齐山山谷及齐卢山、鲁蒙山，采无时。,4,middle,石膏,TRUE
齐卢山,45022,神农本草经,生齐山山谷及齐卢山、鲁蒙山，采无时。,4,middle,石膏,TRUE
鲁蒙山,mengshan,神农本草经,生齐山山谷及齐卢山、鲁蒙山，采无时。,4,middle,石膏,TRUE
青州,210501,神农本草经集注,二郡之山，即青州、徐州也。,2,middle,石膏,continue
徐州,33437,神农本草经集注,二郡之山，即青州、徐州也。,2,middle,石膏,continue
钱塘县,40079,神农本草经集注,今出钱塘县，皆在地中，雨后时时自出，取之皆方如棋子，白澈最佳。,3,middle,石膏,TRUE
彭城,42777,神农本草经集注,比难得，皆用虚隐山者。彭城者亦好。,3,middle,石膏,TRUE
慈山山阴,87978,神农本草经,生大山川谷及慈山山阴，有铁者则生其阳，采无时。,4,middle,磁石,TRUE
太山之阳,taishan,神农本草经,生太山之阳，山阴有铜。,4,middle,玄石,TRUE
汉中山谷,211672,神农本草经,生汉中山谷及卢山，采无时。,2,middle,理石,TRUE
卢山,45022,神农本草经,生汉中山谷及卢山，采无时。,4,middle,理石,TRUE
汉中,211672,神农本草经集注,汉中属梁州，卢山属青州。,2,middle,理石,abandon
卢山属青州。,45022,神农本草经集注,汉中属梁州，卢山属青州。,4,middle,理石,abandon
宁州,212079,神农本草经集注,今出宁州。,2,middle,理石,TRUE
卢山,45022,新修本草,今卢山亦无此物，见出襄州西泛水侧也。,4,middle,理石,FALSE
襄州西泛水侧,34356,新修本草,今卢山亦无此物，见出襄州西泛水侧也。,4,middle,理石,TRUE
长子山谷,95323,神农本草经,生长子山谷及太山、临淄，采无时。,3,middle,长石,TRUE
太山,taishan,神农本草经,生长子山谷及太山、临淄，采无时。,4,middle,长石,TRUE
临淄,85234,神农本草经,生长子山谷及太山、临淄，采无时。,3,middle,长石,TRUE
长子县,95323,神农本草经集注,长子县属上党郡，临淄县属青州。,3,middle,长石,continue
临淄县,85234,神农本草经集注,长子县属上党郡，临淄县属青州。,3,middle,长石,continue
均州辽山,34492,新修本草,此石状同石膏而浓大，纵理而长，文似马齿，今均州辽山有之，土人以为理石者，是长石也。,4,middle,长石,TRUE
益州川谷,211050,神农本草经,生益州川谷。,1,middle,肤青,TRUE
牧羊平泽,212614,神农本草经,生牧羊平泽及枋城、或析城，采无时。,4,middle,铁落,TRUE
枋城,fangcheng,神农本草经,生牧羊平泽及枋城、或析城，采无时。,3,middle,铁落,TRUE
析城,xicheng,神农本草经,生牧羊平泽及枋城、或析城，采无时。,3,middle,铁落,TRUE
盐州五原,211421,新修本草,生盐州五原，盐池下凿取之。,3,middle,光明盐,TRUE
焉耆国,yanqi,新修本草,真者，出焉耆国，水中石下取之，状若扁青、空青，为眼药之要。,1,middle,绿盐,TRUE
波斯国,bosi,新修本草,形似黄龙齿而坚重，亦有白色者，作理石文，出波斯国。,1,middle,密陀僧,TRUE
申州钟山县,83134,新修本草,出申州钟山县，似赤石脂，但舐之不着舌者为真。,3,middle,桃花石,TRUE
南海,42194,新修本草,生南海。,2,middle,珊瑚,TRUE
波斯国,bosi,新修本草,又从波斯国及师子国来。,1,middle,珊瑚,TRUE
师子国,shiziguo,新修本草,又从波斯国及师子国来。,1,middle,珊瑚,TRUE
