X,Y,NAME,ID,SOURCE,QUOTE,PRECISION,CLASS,HERB,TYPE,X,Y,location_id
112.9865424,34.5196623,嵩高山,songshan,神农本草经,生嵩高山，色如莺雏，采无时。,4,upper,黄石脂,TRUE,112.9865424,34.5196623,147.5062047
117.103175,36.2569183,太山之阳,taishan,神农本草经,生太山之阳，山阴有铜。,4,middle,玄石,TRUE,117.103175,36.2569183,153.3600933
117.103175,36.2569183,太山之阴,taishan,神农本草经,生太山之阴，采无时。,4,upper,白石脂,TRUE,117.103175,36.2569183,153.3600933
117.103175,36.2569183,太山之阴,taishan,神农本草经,生赭阳山谷，及太山之阴，或掖北白山，或卷山，采无时。,4,upper,滑石,TRUE,117.103175,36.2569183,153.3600933
117.103175,36.2569183,太山,taishan,神农本草经,生长子山谷及太山、临淄，采无时。,4,middle,长石,TRUE,117.103175,36.2569183,153.3600933
117.103175,36.2569183,太山山谷,taishan,神农本草经,生太山山谷，九月采。,4,upper,太一禹余粮,TRUE,117.103175,36.2569183,153.3600933
117.103175,36.2569183,太山山谷,taishan,神农本草经,生太山山谷，采无时。,4,upper,紫石英,TRUE,117.103175,36.2569183,153.3600933
117.103175,36.2569183,太山山谷,taishan,神农本草经,生太山山谷齐、庐山，及琅邪北定山石间，二月采。,4,upper,云母,TRUE,117.103175,36.2569183,153.3600933
117.103175,36.2569183,太山,taishan,神农本草经,生华阴山谷，及太山，大如指，长二、三寸，六面如削，白澈有光。,4,upper,白石英,TRUE,117.103175,36.2569183,153.3600933
112.9865424,34.5196623,少室,songshan,神农本草经,生汉中山谷及少室，采无时。,4,lower,【兴石】石,TRUE,112.9865424,34.5196623,147.5062047
117.103175,36.2569183,太山,taishan,神农本草经,生东海牧羊山谷中，及太山、河西山，矾石液也。,4,middle,石硫黄,TRUE,117.103175,36.2569183,153.3600933
117.103175,36.2569183,太山之阴,taishan,神农本草经,射阳、及太山之阴，采无时。,4,upper,青石脂,TRUE,117.103175,36.2569183,153.3600933
112.9865424,34.5196623,少室山谷,songshan,神农本草经,生少室山谷及太山，采无时。,4,upper,石钟乳,TRUE,112.9865424,34.5196623,147.5062047
117.103175,36.2569183,太山,taishan,神农本草经,生少室山谷及太山，采无时。,4,upper,石钟乳,TRUE,117.103175,36.2569183,153.3600933
