ID(X+Y);神农本草经_SOURCE;神农本草经集注_SOURCE;新修本草_SOURCE;SY;S;X;SY+S;S+X;SY+S+X;SY+X;vol3-5_X;vol3-5_Y;CAT
134.741391;神农本草经;神农本草经集注;;;;;1;;;;104.075475;30.665916;SY+S
130.157496;;;新修本草;;;1;;;;;102.265554;27.891942;X
117.0234976;;神农本草经集注;新修本草;;;;;1;;;79.9113453;37.1121523;
140.10896;神农本草经;神农本草经集注;新修本草;;;;;;1;;107.036067;33.072893;SY+S+X
147.5062047;神农本草经;神农本草经集注;新修本草;;;;;;1;;112.9865424;34.5196623;SY+S+X
140.403734;;神农本草经集注;;;1;;;;;;114.745163;25.658571;S
151.457317;;神农本草经集注;新修本草;;;;;1;;;117.187683;34.269634;
147.32787;;神农本草经集注;;;1;;;;;;112.5963;34.73157;S
138.635684;;神农本草经集注;;;1;;;;;;112.339178;26.296506;S
137.822903;;神农本草经集注;新修本草;;;;;1;;;111.612564;26.210339;
140.11631;;;新修本草;;;1;;;;;107.08756;33.02875;X
141.72154;神农本草经;;;1;;;;;;;109.01698;32.70456;SY
142.78612;;神农本草经集注;新修本草;;;;;1;;;110.72715;32.05897;
140.12196;;;新修本草;;;1;;;;;107.04581;33.07615;X
143.833723;;;新修本草;;;1;;;;;111.16557;32.668153;X
142.786121;;;新修本草;;;1;;;;;110.72715;32.058971;X
139.28693;;;新修本草;;;1;;;;;104.4497;34.83723;X
155.195813;神农本草经;神农本草经集注;;;;;1;;;;118.344592;36.851221;SY+S
153.389621;;神农本草经集注;;;1;;;;;;113.296719;40.092902;S
152.009791;;;新修本草;;;1;;;;;112.94936;39.060431;X
154.2058;;;新修本草;;;1;;;;;117.41978;36.78602;X
143.4163;;;新修本草;;;1;;;;;105.86738;37.54892;X
146.034;神农本草经;神农本草经集注;新修本草;;;;;;1;;111.0076;35.0264;SY+S+X
151.06551;神农本草经;神农本草经集注;;;;;1;;;;114.47204;36.59347;SY+S
137.91339;神农本草经;;;1;;;;;;;104.28436;33.62903;SY
138.25439;神农本草经;;新修本草;;;;;;;1;98.510691;39.743699;SY+X
155.518434;神农本草经;神农本草经集注;;;;;1;;;;118.88799;36.630444;SY+S
136.39069;神农本草经;神农本草经集注;新修本草;;;;;;1;;113.256066;23.134624;SY+S+X
140.559144;;神农本草经集注;;;1;;;;;;102.632404;37.92674;S
134.7592;;神农本草经集注;;;1;;;;;;94.62009;40.13911;S
144.1672602;;神农本草经集注;;;1;;;;;;106.5453447;37.6219155;S
139.67386;;神农本草经集注;;;1;;;;;;108.74291;30.93095;S
134.576731;神农本草经;神农本草经集注;新修本草;;;;;;1;;94.524344;40.052387;SY+S+X
153.022053;;;新修本草;;;1;;;;;113.3995382;39.6225148;X
138.413626;;神农本草经集注;新修本草;;;;;1;;;113.603417;24.810209;
138.827858;神农本草经;;;1;;;;;;;113.025139;25.802719;SY
135.995671;;神农本草经集注;新修本草;;;;;1;;;111.658852;24.336819;
135.530644;;;新修本草;;;1;;;;;103.848948;31.681696;X
134.86245;;;新修本草;;;1;;;;;103.311796;31.550654;X
152.704116;神农本草经;;;1;;;;;;;114.563995;38.140121;SY
143.86729;;;新修本草;;;1;;;;;107.64626;36.22103;X
134.723055;;;新修本草;;;1;;;;;104.063333;30.659722;X
153.64943;神农本草经;;新修本草;;;;;;;1;117.00031;36.64912;SY+X
138.330679;;;新修本草;;;1;;;;;111.750727;26.579952;X
143.38624;神农本草经;神农本草经集注;;;;;1;;;;109.14697;34.23927;SY+S
145.5275;;神农本草经集注;;;1;;;;;;112.53278;32.99472;S
124.3444;;神农本草经集注;;;1;;;;;;105.6734;18.671;S
124.057;;神农本草经集注;;;1;;;;;;107.595;16.462;S
115.4512353;;神农本草经集注;;;1;;;;;;75.9341008;39.5171345;S
137.46302;神农本草经;神农本草经集注;;;;;1;;;;108.17096;29.29206;SY+S
139.57002;;神农本草经集注;;;1;;;;;;105.78284;33.78718;S
142.1294;;神农本草经集注;;;1;;;;;;109.94073;32.18867;S
134.72839;神农本草经;神农本草经集注;;;;;1;;;;104.078;30.65039;SY+S
131.07889;;神农本草经集注;;;1;;;;;;109.28831;21.79058;S
130.16677;神农本草经;;;1;;;;;;;102.26695;27.89982;SY
138.41363;;神农本草经集注;新修本草;;;;;1;;;113.60342;24.81021;
138.3928;;神农本草经集注;;;1;;;;;;101.78394;36.60886;S
153.66696;;;新修本草;;;1;;;;;114.22922;39.43774;X
139.89417;;;新修本草;;;1;;;;;103.84714;36.04703;X
149.68944;;;新修本草;;;1;;;;;118.7425;30.94694;X
136.18219;;;新修本草;;;1;;;;;105.08757;31.09462;X
144.88033;;;新修本草;;;1;;;;;114.30666;30.57367;X
144.57262;神农本草经;;;1;;;;;;;115.89772;28.6749;SY
130.41765;神农本草经;神农本草经集注;新修本草;;;;;;1;;110.15652;20.26113;SY+S+X
131.05853;神农本草经;神农本草经集注;;;;;1;;;;103.71526;27.34327;SY+S
138.72706;;;新修本草;;;1;;;;;107.50009;31.22697;X
124.0619;;神农本草经集注;新修本草;;;;;1;;;108.2739;15.788;
116.60056;;神农本草经集注;新修本草;;;;;1;;;105.28134;11.31922;
145.28263;;;新修本草;;;1;;;;;114.87991;30.40272;X
139.16789;神农本草经;神农本草经集注;;;;;1;;;;105.21498;33.95291;SY+S
145.47696;;;新修本草;;;1;;;;;110.61755;34.85941;X
153.3600933;神农本草经;神农本草经集注;新修本草;;;;;;1;;117.103175;36.2569183;SY+S+X
145.545833;神农本草经;神农本草经集注;;;;;1;;;;115.973333;29.5725;SY+S
153.54325;神农本草经;神农本草经集注;;;;;1;;;;118.38945;35.1538;SY+S
155.17558;;神农本草经集注;;;1;;;;;;118.4781;36.69748;S
142.54121;;神农本草经集注;;;1;;;;;;112.19077;30.35044;S
137.15782;;;新修本草;;;1;;;;;112.37812;24.7797;X
140.72611;;;新修本草;;;1;;;;;111.6913;29.03481;X
141.99135;;;新修本草;;;1;;;;;111.28712;30.70423;X
135.05594;;神农本草经集注;;;1;;;;;;103.57815;31.47779;S
138.32412;神农本草经;;;1;;;;;;;104.92928;33.39484;SY
139.64348;神农本草经;神农本草经集注;;;;;1;;;;104.65988;34.9836;SY+S
138.39692;;神农本草经集注;;;1;;;;;;104.36445;34.03247;S
128.61091;;神农本草经集注;;;1;;;;;;103.56492;25.04599;S
136.8820274;神农本草经;神农本草经集注;;;;;1;;;;101.5818192;35.3002082;SY+S
136.54341;;;新修本草;;;1;;;;;96.02816;40.51525;X
146.2831;神农本草经;神农本草经集注;;;;;1;;;;113.02336;33.25974;SY+S
157.11343;神农本草经;神农本草经集注;新修本草;;;;;;1;;119.938;37.17543;SY+S+X
148.82664;神农本草经;神农本草经集注;;;;;1;;;;113.78767;35.03897;SY+S
141.17633;;神农本草经集注;;;1;;;;;;112.97813;28.1982;S
153.65162;;;新修本草;;;1;;;;;117.00149;36.65013;X
150.96427;;神农本草经集注;;;1;;;;;;120.09931;30.86496;S
149.410358;;神农本草经集注;;;1;;;;;;116.7566539;32.6537041;S
155.09714;神农本草经;;;1;;;;;;;118.28753;36.80961;SY
152.92117;神农本草经;;;1;;;;;;;119.61617;33.305;SY
146.7708;;;新修本草;;;1;;;;;110.67517;36.09563;X
133.14661;;;新修本草;;;1;;;;;108.65588;24.49073;X
147.62955;神农本草经;;;1;;;;;;;113.46706;34.16249;SY
150.21236;;;新修本草;;;1;;;;;119.94059;30.27177;X
147.3491904;;;新修本草;;;1;;;;;112.1491571;35.2000333;X
152.94402;神农本草经;;;1;;;;;;;118.30271;34.64131;SY
148.75463;;神农本草经集注;;;1;;;;;;119.64992;29.10471;S
151.0873792;;神农本草经集注;;;1;;;;;;119.3025534;31.7848258;S
135.280192;神农本草经;;;1;;;;;;;104.286183;30.994009;SY
128.695332;;神农本草经集注;;;1;;;;;;103.664215;25.031117;S
148.545796;;神农本草经集注;;;1;;;;;;112.953567;35.592229;S
147.593709;;神农本草经集注;;;1;;;;;;111.5157;36.078009;S
164.78817;;神农本草经集注;新修本草;;;;;1;;;125.75432;39.03385;
132.3894352;;神农本草经集注;;;1;;;;;;89.5297193;42.8597159;S
124.41266;神农本草经;;;1;;;;;;;99.25789;25.15477;SY
145.389316;;;新修本草;;;1;;;;;110.868491;34.520825;X
137.454478;神农本草经;神农本草经集注;;;;;1;;;;108.160143;29.294335;SY+S
139.504215;神农本草经;神农本草经集注;新修本草;;;;;;1;;105.655197;33.849018;SY+S+X
138.325622;;神农本草经集注;新修本草;;;;;1;;;104.945609;33.380013;
138.600584;;神农本草经集注;新修本草;;;;;1;;;104.637478;33.963106;
138.08346;;;新修本草;;;1;;;;;104.28535;33.79811;X
151.107724;神农本草经;神农本草经集注;;;;;1;;;;114.516712;36.591012;SY+S
145.81714;神农本草经;神农本草经集注;;;;;1;;;;110.41963;35.39751;SY+S
138.403716;;神农本草经集注;;;1;;;;;;101.78522;36.618496;S
152.977368;神农本草经;神农本草经集注;;;;;1;;;;118.340384;34.636984;SY+S
147.4113991;;神农本草经集注;;;1;;;;;;113.0346154;34.3767837;S
153.4858837;神农本草经;;;1;;;;;;;116.8743628;36.6115209;SY
153.392237;;;新修本草;;;1;;;;;118.331044;35.061193;X
153.5192375;神农本草经;神农本草经集注;;;;;1;;;;114.461205;39.0580325;SY+S
154.17469;神农本草经;神农本草经集注;;;;;1;;;;115.94853;38.22616;SY+S
145.90358;;;新修本草;;;1;;;;;110.43764;35.46594;X
