X,Y,NAME,ID,SOURCE,QUOTE,PRECISION,CLASS,HERB,TYPE,X,Y,location_id
104.075475,30.665916,蜀郡平泽,211047,神农本草经,生蜀郡平泽，采无时。,2,lower,青琅_,TRUE,104.075475,30.665916,134.741391
112.863149,36.116395,长子山谷,95323,神农本草经,生长子山谷及太山、临淄，采无时。,3,middle,长石,TRUE,112.863149,36.116395,148.979544
104.078,30.65039,益州山谷,hvd_113523,神农本草经,生益州山谷及武都、陇西、西羌，采无时。,1,upper,硝石,TRUE,104.078,30.65039,134.72839
117.103175,36.2569183,太山,taishan,神农本草经,生长子山谷及太山、临淄，采无时。,4,middle,长石,TRUE,117.103175,36.2569183,153.3600933
104.92928,33.39484,武都,hvd_110180,神农本草经,生益州山谷及武都、陇西、西羌，采无时。,2,upper,硝石,TRUE,104.92928,33.39484,138.32412
118.37041,36.86401,临淄,85234,神农本草经,生长子山谷及太山、临淄，采无时。,3,middle,长石,TRUE,118.37041,36.86401,155.23442
104.65988,34.9836,陇西,hvd_110181,神农本草经,生益州山谷及武都、陇西、西羌，采无时。,2,upper,硝石,TRUE,104.65988,34.9836,139.64348
107.036067,33.072893,汉中山谷,211672,神农本草经,生汉中山谷及少室，采无时。,2,lower,【兴石】石,TRUE,107.036067,33.072893,140.10896
104.28436,33.62903,西羌,qiangdao,神农本草经,生益州山谷及武都、陇西、西羌，采无时。,1,upper,硝石,TRUE,104.28436,33.62903,137.91339
112.9865424,34.5196623,少室,songshan,神农本草经,生汉中山谷及少室，采无时。,4,lower,【兴石】石,TRUE,112.9865424,34.5196623,147.5062047
104.286183,30.994009,益州川谷,211050,神农本草经,生益州川谷。,1,middle,肤青,TRUE,104.286183,30.994009,135.280192
118.340384,34.636984,牧羊平泽,212614,神农本草经,生牧羊平泽及枋城、或析城，采无时。,4,middle,铁落,TRUE,118.340384,34.636984,152.977368
114.2266873,35.6444798,枋城,fangcheng,神农本草经,生牧羊平泽及枋城、或析城，采无时。,3,middle,铁落,TRUE,114.2266873,35.6444798,149.8711671
101.5818192,35.3002082,河西山谷,hexi,神农本草经,生河西山谷，及陇西武都、石门，采无时。,1,upper,矾石,TRUE,101.5818192,35.3002082,136.8820274
112.3607073,35.4653663,析城,xicheng,神农本草经,生牧羊平泽及枋城、或析城，采无时。,3,middle,铁落,TRUE,112.3607073,35.4653663,147.8260736
105.21498,33.95291,陇西武都,hvd_112802,神农本草经,生河西山谷，及陇西武都、石门，采无时。,2,upper,矾石,TRUE,105.21498,33.95291,139.16789
105.21498,33.95291,石门,hvd_112802,神农本草经,生河西山谷，及陇西武都、石门，采无时。,3,upper,矾石,TRUE,105.21498,33.95291,139.16789
113.02336,33.25974,赭阳山谷,hvd_82783,神农本草经,生赭阳山谷，及太山之阴，或掖北白山，或卷山，采无时。,3,upper,滑石,TRUE,113.02336,33.25974,146.2831
109.01698,32.70456,西城,200069,神农本草经,生西城，采无时。,3,lower,特【兴石】石,TRUE,109.01698,32.70456,141.72154
117.103175,36.2569183,太山之阴,taishan,神农本草经,生赭阳山谷，及太山之阴，或掖北白山，或卷山，采无时。,4,upper,滑石,TRUE,117.103175,36.2569183,153.3600933
119.938,37.17543,掖北白山,hvd_85433,神农本草经,生赭阳山谷，及太山之阴，或掖北白山，或卷山，采无时。,4,upper,滑石,TRUE,119.938,37.17543,157.11343
113.78767,35.03897,卷山,hvd_82523,神农本草经,生赭阳山谷，及太山之阴，或掖北白山，或卷山，采无时。,4,upper,滑石,TRUE,113.78767,35.03897,148.82664
109.01698,32.70456,西城,200069,神农本草经,生西城，采无时。,3,lower,苍石,TRUE,109.01698,32.70456,141.72154
117.103175,36.2569183,太山山谷,taishan,神农本草经,生太山山谷，采无时。,4,upper,紫石英,TRUE,117.103175,36.2569183,153.3600933
118.344592,36.851221,齐国山谷,210495,神农本草经,生齐国山谷，赤红青色，如鸡冠有泽，染爪甲不渝者良，采无时。,1,lower,代赭,TRUE,118.344592,36.851221,155.195813
117.103175,36.2569183,太山,taishan,神农本草经,生华阴山谷，及太山，大如指，长二、三寸，六面如削，白澈有光。,4,upper,白石英,TRUE,117.103175,36.2569183,153.3600933
118.28753,36.80961,齐区山及海崖,hvd_115689,神农本草经,生齐区山及海崖，采无时。,1,upper,青石脂,TRUE,118.28753,36.80961,155.09714
111.0076,35.0264,河东盐池,yanchi,神农本草经,生河东盐池。,4,lower,卤咸,TRUE,111.0076,35.0264,146.034
119.61617,33.305,射阳,hvd_42737,神农本草经,射阳、及太山之阴，采无时。,3,upper,青石脂,TRUE,119.61617,33.305,152.92117
117.103175,36.2569183,太山之阴,taishan,神农本草经,射阳、及太山之阴，采无时。,4,upper,青石脂,TRUE,117.103175,36.2569183,153.3600933
114.47204,36.59347,邯郸,87010,神农本草经,生邯郸及河东池泽。,3,lower,大盐,TRUE,114.47204,36.59347,151.06551
111.0076,35.0264,河东池泽,yanchi,神农本草经,生邯郸及河东池泽。,4,lower,大盐,TRUE,111.0076,35.0264,146.034
104.28436,33.62903,西羌北地,qiangdao,神农本草经,一名胡盐，生胡盐山，及西羌北地，及酒泉福禄城东南角。,1,lower,戎盐,TRUE,104.28436,33.62903,137.91339
98.510691,39.743699,酒泉福禄城东南角,211885,神农本草经,一名胡盐，生胡盐山，及西羌北地，及酒泉福禄城东南角。,4,lower,戎盐,TRUE,98.510691,39.743699,138.25439
112.9865424,34.5196623,嵩高山,songshan,神农本草经,生嵩高山，色如莺雏，采无时。,4,upper,黄石脂,TRUE,112.9865424,34.5196623,147.5062047
118.88799,36.630444,北海,210521,神农本草经,北海青，南海赤。十月采。,2,lower,戎盐,TRUE,118.88799,36.630444,155.518434
117.103175,36.2569183,太山之阴,taishan,神农本草经,生太山之阴，采无时。,4,upper,白石脂,TRUE,117.103175,36.2569183,153.3600933
113.256066,23.134624,南海,34191,神农本草经,北海青，南海赤。十月采。,2,lower,戎盐,TRUE,113.256066,23.134624,136.39069
113.46706,34.16249,颖川阳城,hvd_116101,神农本草经,出颖川阳城，采无时。,3,upper,黑石脂,TRUE,113.46706,34.16249,147.62955
117.103175,36.2569183,太山山谷,taishan,神农本草经,生太山山谷，九月采。,4,upper,太一禹余粮,TRUE,117.103175,36.2569183,153.3600933
118.30271,34.64131,东海,hvd_33402,神农本草经,生东海池泽，及山岛中或池泽中。,2,upper,禹余粮,TRUE,118.30271,34.64131,152.94402
114.47204,36.59347,邯郸山谷,87010,神农本草经,生邯郸山谷，采无时。,4,lower,白垩,TRUE,114.47204,36.59347,151.06551
104.075475,30.665916,蜀郡平泽,211047,神农本草经,生蜀郡平泽。,2,lower,铅丹,TRUE,104.075475,30.665916,134.741391
104.286183,30.994009,益州,211050,神农本草经,生益州，采无时。,1,middle,金屑,TRUE,104.286183,30.994009,135.280192
113.025139,25.802719,桂阳山谷,32836,神农本草经,生桂阳山谷。,2,lower,锡铜镜鼻,TRUE,113.025139,25.802719,138.827858
114.563995,38.140121,中山川谷,212393,神农本草经,生中山川谷。,2,lower,锻石,TRUE,114.563995,38.140121,152.704116
99.25789,25.15477,永昌,211954,神农本草经,生永昌，采无时。,2,middle,银屑,TRUE,99.25789,25.15477,124.41266
108.160143,29.294335,符陵平土,211010,神农本草经,生符陵平土，出于丹砂。,2,middle,水银,TRUE,108.160143,29.294335,137.454478
105.655197,33.849018,武都山谷,211791,神农本草经,生武都山谷、敦煌山之阳，采无时。,2,middle,雄黄,TRUE,105.655197,33.849018,139.504215
94.524344,40.052387,敦煌山之阳,211893,神农本草经,生武都山谷、敦煌山之阳，采无时。,2,middle,雄黄,TRUE,94.524344,40.052387,134.576731
109.14697,34.23927,蓝田山谷,hvd_70749,神农本草经,生蓝田山谷，采无时。,3,upper,玉泉,TRUE,109.14697,34.23927,143.38624
109.14697,34.23927,蓝田,hvd_70749,神农本草经,生蓝田，采无时。,3,upper,玉屑,TRUE,109.14697,34.23927,143.38624
108.17096,29.29206,符陵山谷,hvd_115234,神农本草经,生符陵山谷，采无时。,2,upper,丹砂,TRUE,108.17096,29.29206,137.46302
105.655197,33.849018,武都山谷,211791,神农本草经,生武都山谷，与雄黄同山生。,2,middle,雌黄,TRUE,105.655197,33.849018,139.504215
114.516712,36.591012,赵国山谷,212381,神农本草经,生赵国山谷，又梁山及南海，采无时。,2,middle,殷孽,TRUE,114.516712,36.591012,151.107724
110.41963,35.39751,梁山,70312,神农本草经,生赵国山谷，又梁山及南海，采无时。,4,middle,殷孽,TRUE,110.41963,35.39751,145.81714
104.078,30.65039,益州山谷,hvd_113523,神农本草经,生益州山谷及 越嶲山有铜处。,1,upper,空青,TRUE,104.078,30.65039,134.72839
113.256066,23.134624,南海,34191,神农本草经,生赵国山谷，又梁山及南海，采无时。,2,middle,殷孽,TRUE,113.256066,23.134624,136.39069
102.26695,27.89982,越嶲山有铜处,hvd_116149,神农本草经,生益州山谷及 越嶲山有铜处。,2,upper,空青,TRUE,102.26695,27.89982,130.16677
110.41963,35.39751,梁山山谷,70312,神农本草经,生梁山山谷。,4,middle,孔公孽,TRUE,110.41963,35.39751,145.81714
104.078,30.65039,蜀中山谷,hvd_115804,神农本草经,生蜀中山谷及越嶲，采无时。,2,upper,曾青,TRUE,104.078,30.65039,134.72839
118.340384,34.636984,东海牧羊山谷,212614,神农本草经,生东海牧羊山谷中，及太山、河西山，矾石液也。,4,middle,石硫黄,TRUE,118.340384,34.636984,152.977368
