ID;NUMPOINTS;X;Y;Z
1;8;104.1801553186885;30.822571517225306;80
2;2;112.61192815000001;35.790880649999984;20
3;17;117.00856083773418;36.46622221544226;170
4;8;104.98338789960629;33.69430054305197;80
5;4;118.58532773218802;36.73911752028977;40
6;1;104.65988000000011;34.9836;10
7;2;107.03606700000014;33.072893;20
8;11;113.8429299797299;35.29079802972162;110
9;6;118.2556834208558;35.06562970607848;60
10;2;101.58181920000006;35.3002082;20
11;1;113.02336;33.25974;10
12;2;109.01698000000016;32.70456;20
13;1;119.93800000000024;37.17543;10
14;4;110.7136150000001;35.211955;40
15;1;119.61617;33.305;10
16;1;98.51069100000011;39.743699;10
17;2;113.256066;23.134624;20
18;1;113.025139;25.802719;10
19;2;114.51259999999988;38.599076750000016;20
20;1;99.25789;25.15477;10
21;2;108.16555149999996;29.29319749999996;20
22;1;94.524344;40.052387;10
23;2;109.14697000000011;34.23927;20
24;2;102.26695;27.89982;20
25;2;115.93552649999992;29.1237;20
26;1;110.15652;20.26113;10
27;1;103.71526;27.34327;10
28;1;115.94853000000015;38.22616;10
